market_id,last_price,recent_ma,recent_vol,recent_trend,recent_range,age_days,time_to_resolution_days,frac_life_elapsed,category,y,final_price,spread,mid_price,trades_5m,trades_15m,trades_60m,time_since_last_trade_minutes,up_move_ratio_tail,price_minus_ma,cum_buy_volume,cum_sell_volume,net_cum_order_flow,flow_ratio,trade_count_5m,buy_volume_5m,sell_volume_5m,net_order_flow_5m,avg_trade_size_5m,trade_count_15m,buy_volume_15m,sell_volume_15m,net_order_flow_15m,avg_trade_size_15m,trade_count_60m,buy_volume_60m,sell_volume_60m,net_order_flow_60m,avg_trade_size_60m,snapshot_offset_hours
662770,0.31,0.3118,0.006063002556489653,-0.010000000000000009,0.015000000000000013,25.958333333333332,0.041666666666666664,0.9983974358974359,,1,0.305,,0.31,0,0,1,59.46666666666667,0.08163265306122448,-0.0018000000000000238,30.21212,0.0,30.21212,1.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1
666960,0.385,0.38400000000000006,0.006324555320336764,0.03500000000000003,0.040000000000000036,22.0,2.0,0.9166666666666666,,1,0.395,,0.385,0,0,1,59.7,0.08163265306122448,0.0009999999999999454,9443.1,9430.0,13.100000000000364,0.5003470548028677,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,48
666960,0.385,0.3857000000000001,0.003318132004607415,0.0,0.010000000000000009,23.0,1.0,0.9583333333333334,,1,0.395,,0.385,0,0,1,59.666666666666664,0.08163265306122448,-0.0007000000000000894,9453.258729,9430.0,23.25872899999922,0.5006158558047049,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,24
666960,0.385,0.3852000000000001,0.0029933259094191557,-0.0050000000000000044,0.010000000000000009,23.5,0.5,0.9791666666666666,,1,0.395,,0.385,0,0,1,59.7,0.04081632653061224,-0.000200000000000089,9503.458729,9430.0,73.45872899999995,0.5019399183754917,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1,6.0,0.0,6.0,6.0,12
666960,0.395,0.386,0.004242640687119289,0.010000000000000009,0.015000000000000013,23.75,0.25,0.9895833333333334,,1,0.395,,0.395,0,0,1,59.61666666666667,0.061224489795918366,0.009000000000000008,9568.458729,9430.0,138.45872899999995,0.5036439463583604,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,6
666960,0.395,0.38659999999999994,0.004737087712930808,0.010000000000000009,0.015000000000000013,23.875,0.125,0.9947916666666666,,1,0.395,,0.395,0,0,1,59.7,0.061224489795918366,0.008400000000000074,9568.458729,9430.0,138.45872899999995,0.5036439463583604,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,3
666960,0.395,0.387,0.005000000000000004,0.010000000000000009,0.015000000000000013,23.958333333333332,0.041666666666666664,0.9982638888888888,,1,0.395,,0.395,0,0,1,59.63333333333333,0.061224489795918366,0.008000000000000007,9568.458729,9430.0,138.45872899999995,0.5036439463583604,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1
714954,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,,1,0.5,,0.5,0,0,1,59.833333333333336,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,24
714954,0.5,0.5,0.0,0.0,0.0,1.5,0.5,0.75,,1,0.5,,0.5,0,0,1,59.85,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,12
714954,0.5,0.5,0.0,0.0,0.0,1.75,0.25,0.875,,1,0.5,,0.5,0,0,1,59.81666666666667,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,6
714954,0.5,0.5,0.0,0.0,0.0,1.875,0.125,0.9375,,1,0.5,,0.5,0,0,1,59.85,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,3
714954,0.5,0.5,0.0,0.0,0.0,1.9583333333333333,0.041666666666666664,0.9791666666666666,,1,0.5,,0.5,0,0,1,59.8,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1
698693,0.515,0.5260000000000001,0.006244997998398403,-0.015000000000000013,0.030000000000000027,3.0,2.0,0.6,,1,0.515,,0.515,0,0,1,59.65,0.12244897959183673,-0.01100000000000012,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,48
698693,0.525,0.5236999999999999,0.007470609078247911,-0.010000000000000009,0.030000000000000027,4.0,1.0,0.8,,1,0.515,,0.525,0,0,1,59.63333333333333,0.1836734693877551,0.0013000000000000789,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,24
698693,0.525,0.5231999999999999,0.007054076835419365,0.0,0.030000000000000027,4.5,0.5,0.9,,1,0.515,,0.525,0,0,1,59.65,0.1836734693877551,0.0018000000000001348,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,12
698693,0.515,0.522,0.006324555320336764,-0.020000000000000018,0.030000000000000027,4.75,0.25,0.95,,1,0.515,,0.515,0,0,1,59.583333333333336,0.16326530612244897,-0.007000000000000006,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,6
698693,0.515,0.5207,0.0052924474489597015,0.0050000000000000044,0.015000000000000013,4.875,0.125,0.975,,1,0.515,,0.515,0,0,1,59.63333333333333,0.14285714285714285,-0.005700000000000038,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,3
698693,0.515,0.5208,0.005134199061197379,0.0,0.015000000000000013,4.958333333333333,0.041666666666666664,0.9916666666666666,,1,0.515,,0.515,0,0,1,59.63333333333333,0.14285714285714285,-0.005800000000000027,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1
685146,0.48,0.49,0.0055677643628300275,-0.010000000000000009,0.015000000000000013,11.0,2.0,0.8461538461538461,,1,0.485,,0.48,0,0,1,59.45,0.04081632653061224,-0.010000000000000009,70.417719,0.0,70.417719,1.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,48
685146,0.48,0.48460000000000003,0.006390618123468189,-0.015000000000000013,0.015000000000000013,12.0,1.0,0.9230769230769231,,1,0.485,,0.48,0,0,1,59.43333333333333,0.02040816326530612,-0.0046000000000000485,182.05771900000002,12.84,169.21771900000002,0.9341192905392597,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,24
685146,0.485,0.4819999999999999,0.0030000000000000027,-0.010000000000000009,0.015000000000000013,12.5,0.5,0.9615384615384616,,1,0.485,,0.485,0,0,1,59.46666666666667,0.04081632653061224,0.0030000000000001137,235.49168,12.84,222.65168,0.9482949577758263,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,12
685146,0.485,0.4816,0.0023323807579381226,0.0050000000000000044,0.0050000000000000044,12.75,0.25,0.9807692307692307,,1,0.485,,0.485,0,0,1,59.333333333333336,0.061224489795918366,0.003400000000000014,235.49168,12.84,222.65168,0.9482949577758263,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,6
685146,0.485,0.4819,0.0024269322199023217,0.0050000000000000044,0.0050000000000000044,12.875,0.125,0.9903846153846154,,1,0.485,,0.485,0,0,1,59.43333333333333,0.061224489795918366,0.0030999999999999917,235.49168,12.84,222.65168,0.9482949577758263,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,3
685146,0.485,0.4820999999999999,0.0024677925358506155,0.0050000000000000044,0.0050000000000000044,12.958333333333334,0.041666666666666664,0.9967948717948718,,1,0.485,,0.485,0,0,1,59.38333333333333,0.061224489795918366,0.002900000000000069,235.49168,12.84,222.65168,0.9482949577758263,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1
737791,0.495,0.495,0.0,0.0,0.0,0.875,0.125,0.875,,1,0.66,,0.495,0,0,1,59.81666666666667,,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,3
737791,0.655,0.6166666666666666,0.08797095480264432,0.16000000000000003,0.20499999999999996,0.9583333333333334,0.041666666666666664,0.9583333333333334,,1,0.66,,0.655,0,0,1,59.766666666666666,0.5,0.03833333333333344,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1
697274,0.24,0.2102,0.02734885738015393,0.06999999999999998,0.1,5.0,2.0,0.7142857142857143,,1,0.195,,0.24,0,0,1,59.5,0.4897959183673469,0.029799999999999993,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,48
697274,0.315,0.2473,0.025616596182943586,0.095,0.1,6.0,1.0,0.8571428571428571,,1,0.195,,0.315,0,0,1,59.46666666666667,0.4489795918367347,0.06770000000000001,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,24
697274,0.19,0.2636,0.03947201540332087,-0.04000000000000001,0.15999999999999998,6.5,0.5,0.9285714285714286,,1,0.195,,0.19,0,0,1,59.5,0.4489795918367347,-0.0736,394.642856,0.0,394.642856,1.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,1,10.0,0.0,10.0,10.0,12
697274,0.3,0.2615,0.045719251962384515,0.044999999999999984,0.205,6.75,0.25,0.9642857142857143,,1,0.195,,0.3,0,0,1,59.4,0.4489795918367347,0.03849999999999998,1481.862856,129.22,1352.642856,0.9197930761172471,3,73.0,0.0,73.0,24.333333333333332,11,161.0,0.0,161.0,14.636363636363637,18,241.0,5.22,235.78,13.678888888888888,6
697274,0.185,0.2607,0.04698946690482879,-0.035,0.205,6.875,0.125,0.9821428571428571,,1,0.195,,0.185,0,0,1,59.483333333333334,0.42857142857142855,-0.07569999999999999,1783.862856,251.22,1532.642856,0.8765553946566194,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,15,183.0,122.0,61.0,20.333333333333332,3
697274,0.215,0.2588,0.050035587335415584,-0.024999999999999994,0.21499999999999997,6.958333333333333,0.041666666666666664,0.994047619047619,,1,0.195,,0.215,0,0,1,59.43333333333333,0.40816326530612246,-0.04379999999999998,8653.935268,267.22,8386.715268,0.9700464803074875,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,21,6563.402412,16.0,6547.402412,313.3048767619048,1
697049,0.51,0.5022,0.0038935844667863607,0.010000000000000009,0.010000000000000009,5.0,2.0,0.7142857142857143,,1,0.845,,0.51,0,0,1,59.81666666666667,0.10204081632653061,0.007800000000000029,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,,48
